df,idx,col,old,new
visa,3,비자코드,"A-3 (A-3-99 (Fulbright 협정 대상자에 대한 복수사증, 체류기간 및 유효기간은 한미교류재단 ",A-3 (A-3-99 Fulbright 협정 대상)
visa,3,신청상황,협정(A-3) 체류자격 해당자에 대한 단수사증 발급. Fulbright 협정대상자(A-3-99)에 대한 복수,협정(A-3) 체류자격 해당자에 대한 단수사증 발급. Fulbright 협정대상자(A-3-99)에 대한 복수사증 (체류기간·유효기간은 한미교류재
visa,24,1회부여 체류기간,"체류기간 90일 이하 복수사증
체류기간 90일 이하 단수사증",90일 이하
visa,27,1회부여 체류기간,2년 (체류기간 상한); 공관장 발급은 1년 이하 단수,1년 이하 (공관장 재량 발급)
visa,43,1회부여 체류기간,2년 (체류기간 상한); 공관장 재량 발급은 1년 이하 단수사증,1년 이하 (공관장 재량 발급)
visa,93,대상자,재외동포(F-4) 자격자의 부모,① 주한 외국공관원 가사보조인 ② A-1~A-3 자격자 동거인 ③ 미성년 외국인 유학생 부모(F-1-13) ④ SOFA 21세 이상 가족 ⑤ 부
visa,116,체류상한,"유효기간: 발급일로부터 3년 이내(유효기간 만료 이후 재발급 가능)
혜택: 출입국 우대심사대 및 공항 보안검",
visa,116,동반가족,F-1 동반가족,"F-3 (배우자·미성년 자녀, D-10·E-7 자격자) / F-2 (거주·영주 자격자 동반) / F-1 (부모 1인)"
visa,121,동반가족,F-3-T 동반,F-2 거주(동반가족) — F-2 자격자 동반가족은 F-2 부여 원칙
visa,122,동반가족,"F-1, F-2-71 (점수제 자녀)","F-5 영주 (배우자·미성년 자녀, 체류 2년 미만 시 F-2) / F-1 (부모)"
visa,128,대상자,신청일 기준 최근 5년 이내 연속하여 6개월 이상 해외 체류 사실이 있는 경우 해당 체류국의 범죄경력증명서 ,최근 5년 이내 6개월 이상 해외 체류 사실이 있는 경우 해당 체류국의 범죄경력증명서 제출 (제3국은 신청일 기준 최근 5년 이내 1년 이상 연
stay,0,출처,공통사항: 각종 체류허가 등에 관한 심사수수료 (p. 4),공통사항: 심사수수료/여권유효기간/직업·소득신고/재학증명서/결핵진단서 (p. 4~9)
stay,182,자격요건,출처(중첩 테이블 #295 또는 별도 부록) 확인 후 그대로 유지 또는 출처 표기 강화,"한국인 배우자와 정상적 혼인관계 유지 + 가구원수별 소득요건 충족 (2인 25,195,752원 → 7인 57,090,900원, 8인+ 1인당 5"
stay,199,선행자격,D-7~E-7 또는 F-2 5년+ 체류 + 소득·재산 요건,재외동포(F-4) 자격으로 대한민국에 2년 이상 계속 체류 + 6개 요건 중 하나: ①연간소득 GNI 이상 ②60세+ 해외연금 GNI 이상 ③전
stay,188,선행자격,난민신청·인도적체류·산재 등 기타 사유,산재보상 청구/재심청구 또는 산재 치료·요양 중인 외국인 근로자 및 그 가족 (G-1-1)
stay,190,선행자격,난민신청·인도적체류·산재 등 기타 사유,"B-1, B-2, C-3(C-3-3 포함) 단기사증 입국자 중 의료기관 검진 결과 장기치료/요양 필요 인정자 + 동반가족·간병인(협약국)"
stay,207,선행자격,"주체류자(E-1~E-7, D-7~D-9 등)의 배우자·미성년 자녀",지역우수인재(F-2-R) 자격 소지자의 배우자 및 미성년자녀(배우자 없을 것)
stay,203,신청종류,체류자격 변경 (F-5-14는 H-2 4년+ 후 영주로 변경),체류자격 변경
stay,203,선행자격,D-7~E-7 또는 F-2 5년+ 체류 + 소득·재산 요건,방문취업(H-2) 자격으로 제조업/농축산업/어업/간병인/가사보조인에서 동일업체 4년 이상 계속 근무 (F-4 자격 변경자 포함) + 기술·기능자
