label,row_index,verdict,auto_applied,memo_only,src_only,pdf_pages
visa,2,MINOR_FIX,1,0,True,"p.10,p.11,p.12"
visa,3,MINOR_FIX,0,1,False,p.13
visa,4,MINOR_FIX,1,0,True,"p.14,p.15"
visa,5,MINOR_FIX,1,0,True,"p.22,p.23,p.24"
visa,6,MINOR_FIX,1,0,True,p.22
visa,7,MINOR_FIX,1,0,True,"p.25,p.26"
visa,8,MINOR_FIX,1,0,True,"p.25,p.26"
visa,9,MINOR_FIX,1,0,True,"p.27,p.28,p.29,p.30"
visa,10,MINOR_FIX,1,0,True,"p.28,p.29"
visa,11,MINOR_FIX,1,0,True,p.30
visa,12,MINOR_FIX,1,0,True,"p.30,p.31,p.42,p.43,p.44"
visa,13,MINOR_FIX,1,0,True,"p.31,p.32"
visa,14,MINOR_FIX,1,0,True,p.32
visa,15,MINOR_FIX,1,0,True,"p.32,p.33"
visa,16,MINOR_FIX,1,0,True,p.33
visa,17,MINOR_FIX,1,0,True,"p.33,p.34,p.35,p.36,p.37,p.38,p.39,p.40,p.41"
visa,18,MINOR_FIX,1,0,True,"p.41,p.42"
visa,19,MINOR_FIX,1,0,True,p.42
visa,20,MINOR_FIX,1,0,True,"p.46,p.47,p.48"
visa,21,MINOR_FIX,1,0,True,"p.49,p.50"
visa,22,MINOR_FIX,3,0,False,"27,50"
visa,23,MINOR_FIX,2,0,False,"51,52"
visa,24,MINOR_FIX,2,1,False,"52,53,54,55,56,57,58"
visa,25,MINOR_FIX,2,0,False,"58,59"
visa,26,MINOR_FIX,2,0,False,59
visa,27,MINOR_FIX,2,1,False,"60,61"
visa,28,OK_WITH_NOTE,1,0,True,"60,61"
visa,29,MAJOR_ISSUE,2,1,False,"62,63,67"
visa,30,MINOR_FIX,1,0,True,68
visa,31,OK_WITH_NOTE,1,0,True,"68,69"
visa,32,OK_WITH_NOTE,1,0,True,70
visa,33,OK_WITH_NOTE,1,0,True,"70,71,72"
visa,34,MINOR_FIX,1,0,True,73
visa,35,OK_WITH_NOTE,1,0,True,"73,74"
visa,36,OK_WITH_NOTE,1,0,True,75
visa,37,OK_WITH_NOTE,1,1,False,"75,76"
visa,38,OK_WITH_NOTE,1,0,True,"76,77,78"
visa,39,OK_WITH_NOTE,1,0,True,"79,80,81"
visa,40,MINOR_FIX,2,0,False,"81,82,83"
visa,41,OK_WITH_NOTE,1,0,True,"83,84,85,86,87"
visa,42,OK_WITH_NOTE,1,0,True,87
visa,43,MINOR_FIX,2,1,False,"89,90"
visa,66,MINOR_FIX,1,0,True,"p.143,p.144,p.145,p.146"
visa,67,MINOR_FIX,1,0,True,"p.146,p.147"
visa,68,MINOR_FIX,1,0,True,"p.151,p.152"
visa,69,NEEDS_REVIEW,3,0,False,"p.153,p.154,p.155,p.156,p.157"
visa,70,MINOR_FIX,1,0,True,p.157
visa,71,MINOR_FIX,1,0,True,p.158
visa,72,MINOR_FIX,1,0,True,p.159
visa,73,MINOR_FIX,1,0,True,"p.160,p.161,p.162,p.163"
visa,74,MINOR_FIX,1,0,True,p.163
visa,75,MINOR_FIX,1,0,True,"p.163,p.164"
visa,76,MINOR_FIX,1,0,True,p.164
visa,77,MINOR_FIX,1,0,True,p.165
visa,78,NEEDS_REVIEW,1,1,False,"p.169,p.170,p.175,p.176"
visa,79,MINOR_FIX,1,0,True,"p.177,p.178"
visa,80,MINOR_FIX,1,0,True,"p.178,p.179"
visa,81,MINOR_FIX,1,0,True,p.179
visa,82,MINOR_FIX,1,0,True,"p.185,p.186"
visa,83,MINOR_FIX,1,0,True,p.219
visa,84,MINOR_FIX,1,0,True,"p.231,p.232,p.233,p.234,p.236"
visa,85,MINOR_FIX,1,0,True,"p.248,p.249,p.250"
visa,86,MINOR_FIX,1,0,True,"p.247,p.248"
visa,87,NEEDS_REVIEW,2,0,False,"p.248,p.249"
stay,28,MINOR_FIX,0,1,False,
stay,44,MINOR_FIX,0,1,True,
stay,52,NEEDS_REVIEW,1,0,False,
stay,55,NEEDS_REVIEW,0,1,False,
stay,58,NEEDS_REVIEW,1,0,False,
stay,60,MINOR_FIX,1,0,True,
stay,59,MINOR_FIX,1,0,True,
stay,78,NEEDS_REVIEW,0,1,False,
stay,79,OK,0,1,False,
stay,80,NEEDS_REVIEW,1,0,True,
stay,84,OK,1,0,True,
stay,85,NEEDS_REVIEW,1,0,True,
stay,88,NEEDS_REVIEW,1,0,True,
stay,89,NEEDS_REVIEW,1,0,True,
stay,95,NEEDS_REVIEW,1,0,True,
stay,98,NEEDS_REVIEW,1,0,True,
stay,99,NEEDS_REVIEW,1,0,True,
stay,100,NEEDS_REVIEW,1,0,True,
stay,101,NEEDS_REVIEW,1,0,True,
stay,102,OK,1,0,True,
stay,103,NEEDS_REVIEW,1,0,True,
