비자코드,상위코드,사증·체류,신청종류,하위프로그램,신청상황,대상,자격요건,제출서류,절차,수수료,기간,제한,예외,의무사항,공통사항,점수표,쿼터,초청자,추천·승인기관,표 데이터,참고사항,원본파일,페이지,원본 라인범위,연계비자,키워드,원문발췌,예상질문,검수상태,검수메모
공통,공통,사증,공통사항,,"국내에 90일을 초과하여 체류할 목적으로 사증을 신청하는 경우
단기체류자격 중 계절근로자(C-4-1~4) 및 국내 체류 중인 외국인 결핵환자가 가족 등을 간병인으로 초청하는 경우
과거 결핵진단서를 제출하고 국내에 장기체류하다가 완전출국 후 새로운 장기체류사증을 발급받으려는 경우","장기체류사증 신청자 등 결핵진단서 제출 대상자
네팔, 동티모르, 러시아, 말레이시아, 몽골, 미얀마, 방글라데시, 베트남, 태국, 스리랑카, 우즈베키스탄, 인도, 인도네시아, 중국, 캄보디아, 키르기스스탄, 파키스탄, 필리핀, 라오스, 카자흐스탄, 타지키스탄, 우크라이나, 아제르바이잔, 벨라루스, 몰도바공화국, 나이지리아, 남아프리카공화국, 에티오피아, 케냐, 콩고민주공화국, 모잠비크, 짐바브웨, 앙골라, 페루, 파푸아뉴기니",,- 결핵진단서,,,,,"외교(A-1), 공무(A-2), 협정(A-3) 자격 소지자
만 6세 미만 소아(만 6세 이후 최초 체류허가 신청 시 제출) 및 임신부
고령 또는 질병으로 거동이 불가능한 사람",,,,35개국,,,결핵 고위험국가 35개국 명단,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 5~6,data/parsed/raw/visa_manual.md:1-287,"A-1, A-2, A-3, C-4","결핵진단서, 결핵 고위험국가, 장기체류사증, 외국인등록, 공통사항, 35개국","국내에 90일 초과하여 체류할 목적*으로 사증을 신청하는 경우(전자사증 대상자의 경우에는 국내 입국 후 외국인등록 시 제출)
단기체류자격 중 계절근로자(C-4-1~4) 및 국내 체류 중인 외국인 결핵환자가 가족 등을 간병인으로 초청하는 경우

네팔, 동티모르, 러시아, 말레이시아, 몽골, 미얀마, 방글라데시, 베트남, 태국, 스리랑카, 우즈베키스탄, 인도, 인도네시아, 중국, 캄보디아, 키르기스스탄, 파키스탄, 필리핀, 라오스, 카자흐스탄, 타지키스탄, 우크라이나, 아제르바이잔, 벨라루스, 몰도바공화국, 나이지리아, 남아프리카공화국, 에티오피아, 케냐, 콩고민주공화국, 모잠비크, 짐바브웨, 앙골라, 페루, 파푸아뉴기니","한국에서 오래 살 비자를 받으려면 결핵진단서를 꼭 내야 하나요?
결핵 고위험국가 출신이면 어떤 경우에 결핵진단서가 필요해요?
결핵진단서 안 내도 되는 경우가 있나요?
어떤 나라들이 결핵 고위험국가로 분류돼요?",미검수,
A-1,A-1,사증,사증발급,,,"- 대한민국에 접수된 대사, 공사, 참사관, 서기관 등의 외교직원
- 대한민국 정부에 접수된 총영사, 영사 등의 영사관
- 국제연합의 사무총장 및 사무차장, 국제연합전문기구의 사무국장 등
- 국가원수, 각료, 양원의장, 정부주최 회의에 출석하는 외국정부의 대표단 구성원 등
- 우리나라에 주재하는 외교관과 세대를 같이 하는 배우자, 자녀, 부모 등","외국정부의 외교사절단이나 영사기관의 구성원
조약 또는 국제관행에 따라 외교사절과 동등한 특권과 면제를 받은 자
상기자의 가족","- 사증발급신청서 (별지 제17호 서식)
- 여권
- 표준규격사진 1매
- 수수료
- 파견, 재직을 증명하는 서류 또는 해당국 외교부장관의 협조공한
외국정부의 외교사절단이나 영사기관의 구성원의 동반가족의 경우 본국에서 발급한 가족관계증명서, 출생증명서 등 가족관계 입증서류",,,"재임 기간
재임 기간 (1회 부여 체류기간 상한)
외교(A-1) 자격 해당자에 대한 단수 또는 복수사증
복수사증협정국가(미국, 일본, 중국, 러시아, 우즈베키스탄 등) 국민에 대해 그 협정에 따라 발급하는 복수사증
일시적인 외교업무 수행자에게 발급하는 유효기간 3월의 단수사증
국제기구 직원의 복수사증 신청 시 유효기간 3년의 복수사증",,신분증명서의 제시 등에 대하여 해당 신분임이 확인되는 때에는 구술서로 갈음할 수 있음,,,,,,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 7~8,data/parsed/raw/visa_manual.md:1-287,"A-2, A-3, F-1, C-3","외교, 외교사절단, 영사기관, 외교관 여권, 가족, 사증발급신청서, 협조공한, 가족관계증명서","외국정부의 외교사절단이나 영사기관의 구성원
조약 또는 국제관행에 따라 외교사절과 동등한 특권과 면제를 받은 자
상기자의 가족

① 사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료
② 파견, 재직을 증명하는 서류 또는 해당국 외교부장관의 협조공한(신분증명서의 제시 등에 대하여 해당 신분임이 확인되는 때에는 구술서로 갈음할 수 있음)
③ 외국정부의 외교사절단이나 영사기관의 구성원의 동반가족에 경우에는 본국에서 발급한 가족관계증명서, 출생증명서 등 가족관계 입증서류

재임 기간
외교(A-1) 자격 해당자에 대한 단수 또는 복수사증
복수사증협정국가(미국, 일본, 중국, 러시아, 우즈베키스탄 등) 국민에 대해 그 협정에 따라 발급하는 복수사증
일시적인 외교업무 수행자에게 발급하는 유효기간 3월의 단수사증(단, 우리 외교관에게 복수사증을 발급하는 국가의 외교관에 대해서는 복수사증 발급)","외교사절로 한국에 오면 어떤 비자를 받나요?
외교관 가족도 같이 비자 받을 수 있어요?
국제기구 직원도 외교비자 대상인가요?
외교비자를 받으려면 어떤 서류를 내야 해요?",미검수,
A-1 (사증발급인정서),A-1,사증,사증발급인정서,사증발급인정서,국내에 소재한 국제기구 사무국 등의 직원과 관계인의 입국 편의를 위해 관할 출입국·외국인청(사무소·출장소)에서 발급,"국제기구에서 초청하려는 자, 일시방문 국제기구 직원, 가사보조인, 성년자녀 등 체류자격에 관계없이 국제기구에서 초청하려는 자",,,,,,,,,,,,국내 소재 국제기구 사무국 등,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 9,data/parsed/raw/visa_manual.md:1-287,,"외교, 사증발급인정서, 국제기구, 초청","(사증발급인정서 발급) 국내에 소재한 국제기구 사무국 등의 직원과 관계인의 입국 편의를 위해 관할 출입국ㆍ외국인청(사무소ㆍ출장소)에서 사증발급인정서 발급도 가능
(대상) 국제기구에서 초청하려는 자, 일시방문 국제기구 직원, 가사보조인, 성년자녀 등 체류자격에 관계없이 국제기구에서 초청하려는 자","국제기구에서 외교비자로 사람을 초청하려면 사증발급인정서를 받을 수 있나요?
국내 국제기구 사무국에서 가사보조인이나 자녀도 초청 가능해요?",미검수,
A-2,A-2,사증,사증발급,,대한민국정부가 승인한 외국정부 또는 국제기구의 공무를 수행하는 자와 그 가족,"- 대한민국 정부가 승인한 외국정부 외교사절단의 사무직원 및 기술직원과 노무직원
- 대한민국정부가 승인한 영사기관의 사무직원 및 기술직원과 노무직원
- 대한민국에 본부를 둔 국제기구의 직원
- 외국정부 또는 국제기구가 대한민국에 있는 지사에서 대한민국정부와의 공적 업무를 위해 주재하는 직원
- 대한민국 정부와의 공적인 업무를 위해 외국정부 또는 국제기구에서 파견한 자
- 대한민국 정부 또는 국제기구가 주최하는 회의 등에 참가하는 자
- 상기자와 동일한 세대에 속하는 가족 구성원","외국정부 또는 국제기구의 공무를 수행하는 자
상기자의 가족
관용여권 또는 신분증명서 소지여부 확인
단 일반여권을 소지한 자는 공무수행자 또는 국제기구 근무자 및 그 가족에 한함","- 사증발급신청서 (별지 제17호 서식)
- 여권
- 표준규격사진 1매
- 수수료
- 파견, 재직을 증명하는 서류 또는 해당국 외교부장관이나 소속부처 장관의 공한(공무수행임을 입증하는 내용 명시)",,,"공무수행기간
공무수행기간 (1회 부여 체류기간 상한)
공무(A-2)의 체류자격에 해당하는 자에 대한 단수사증
외국정부 또는 국제기구의 공무수행자(가족 및 수행원 포함)에 대한 30일 이하 외교(A-1) 또는 공무(A-2) 체류자격에 해당하는 단수사증
우리나라에서 주재 근무하고자 하는 국제연합 및 산하기관의 직원과 그 가족에 대하여는 체류기간 91일 이상의 장기사증
국제기구 직원이 파견·재직증명서를 첨부하여 복수사증을 신청하는 경우 유효기간 3년의 복수사증",,,,,,,,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 11,data/parsed/raw/visa_manual.md:1-287,"A-1, F-1, C-3","공무, 외국정부, 국제기구, 사무직원, 가족, 사증발급신청서, 공한, 관용여권","대한민국정부가 승인한 외국정부 또는 국제기구의 공무를 수행하는 자와 그 가족
① 대한민국 정부가 승인한 외국정부 외교사절단의 사무직원 및 기술직원과 노무직원
② 대한민국정부가 승인한 영사기관의 사무직원 및 기술직원과 노무직원

① 사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료
② 파견, 재직을 증명하는 서류 또는 해당국 외교부장관이나 소속부처 장관의 공한(공무수행임을 입증하는 내용 명시)
※ 관용여권 또는 신분증명서 소지여부 확인, 단 일반여권을 소지한 자는 공무수행자 또는 국제기구 근무자 및 그 가족에 한함

공무수행기간
공무(A-2)의 체류자격에 해당하는 자에 대한 단수사증
외국정부 또는 국제기구의 공무수행자(가족 및 수행원 포함)에 대한 30일 이하 외교(A-1) 또는 공무(A-2) 체류자격에 해당하는 단수사증
우리나라에서 주재 근무하고자 하는 국제연합 및 산하기관의 직원과 그 가족에 대하여는 체류기간 91일 이상의 장기사증을 발급할 수 있음","공무로 한국에 파견되면 어떤 비자를 받나요?
국제기구 사무직원도 공무비자 대상인가요?
공무비자 가족도 같이 받을 수 있어요?
공무비자를 받으려면 어떤 서류를 내야 해요?",미검수,
A-2,A-2,사증,체류자격외 활동허가,,"외교(A-1), 공무(A-2) 자격으로 근무중인 국제기구 직원의 동반가족",,"배우자 및 미성년자녀에 대해 체류자격외 활동 허가
「녹색기후기금(GFC)」사무국 직원의 경우 배우자, 미성년자녀 외에 직원이 경제적으로 부양하고 있는 가계 구성원인 자녀에게도 체류자격외 활동허가 가능",활동하고자 하는 체류자격에 해당하는 자격 등 입증서류,,,,"단순노무분야(D-3, E-9, E-10, H-2 등)를 제외한 모든 체류자격에 해당하는 활동",,,,,,,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 13,data/parsed/raw/visa_manual.md:1-287,"A-1, D-3, E-9, E-10, H-2","공무, 국제기구, 가족, 체류자격외 활동허가, 녹색기후기금","◦ 외교(A-1), 공무(A-2) 자격으로 근무중인 국제기구 직원의 동반가족 중 배우자 및 미성년자녀에 대해 체류자격외 활동 허가
- 다만, 「녹색기후기금(GFC)」사무국 직원의 경우 배우자, 미성년자녀 외에 직원이 경제적으로 부양하고 있는 가계 구성원인 자녀에게도 체류자격외 활동허가를 할 수 있음
* 단순노무분야( D3, E-9, E10, H2 등)를 제외한 모든 체류자격에 해당하는 활동","국제기구 직원 가족도 한국에서 일할 수 있어요?
공무비자 가족이 단순노무 일을 해도 되나요?",미검수,
A-3 (A-3-99),A-3,사증,사증발급,A-3-99,Fulbright 협정대상자,협정에 의하여 외국인등록이 면제 또는 면제할 필요가 있다고 인정되는 자와 그 가족,"협정에 의하여 외국인등록이 면제 또는 면제할 필요가 있다고 인정되는 자
상기자의 가족","- 사증발급신청서 (별지 제17호 서식)
- 여권
- 표준규격사진 1매
- 수수료
- 파견, 재직을 증명하는 서류 또는 해당국 외교부장관이나 소속부처 장관의 공한(공무수행임을 입증하는 내용 명시)","대한민국 정부가 체결한 협정이나 합의각서 등에 사증발급에 관한 규정이 있는 때 또는 법무부장관이 호혜원칙 등을 고려하여 따로 정하는 때에는 그에 따라 사증발급(시행규칙 제13조 제1항)
사증발급대상자가 복수사증발급협정 등이 체결된 국가의 국민이라 하더라도 특별한 사유가 있는 때에는 단수사증발급 가능(시행규칙 제13조 제2항)",,"신분존속기간 또는 협정상의 체류기간
협정(A-3)의 체류자격에 해당하는 자에 대한 복수사증
체류기간 및 유효기간은 한미교류재단 협조공한 상의 '장학금 수혜기간'",사증발급인정서 발급 제외 대상임,,,,,,,한미교류재단 협조공한,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 14,data/parsed/raw/visa_manual.md:1-287,"A-1, A-2","협정, 외국인등록 면제, 신분존속기간, 사증발급신청서, 공한, Fulbright, 한미교류재단, 복수사증","협정에 의하여 외국인등록이 면제 또는 면제할 필요가 있다고 인정되는 자
상기자의 가족
신분존속기간 또는 협정상의 체류기간

① 사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료
② 파견, 재직을 증명하는 서류 또는 해당국 외교부장관이나 소속부처 장관의 공한(공무수행임을 입증하는 내용 명시)
사증발급인정서 발급 제외 대상임

2. Fulbright 협정대상자에 대한 협정(A-3-99) 체류자격 사증발급
◦협정(A-3)의 체류자격에 해당하는 자에 대한 복수사증
- 체류기간 및 유효기간은 한미교류재단 협조공한 상의 `장학금 수혜기간`","협정 비자는 누가 받을 수 있어요?
협정비자 받으면 얼마나 머물 수 있어요?
협정비자 받으려면 무슨 서류 내요?
협정비자는 사증발급인정서로 받을 수 있나요?",미검수,
B-1,B-1,사증,사증발급,,,사증면제협정 체결국가 국민,"대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 의한 활동을 하려는 자
출입국관리법 제7조 제2항 제2호: 대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 따라 면제대상이 되는 사람",,"입국심사 시 체류자격 및 체류기간 결정
가. 외교·관용여권소지자: 외교(A-1), 공무(A-2)
나. 일반여권소지자: 사증면제(B-1)",,"협정상의 체류기간
국가별 협정상의 체류기간 (예시):
- 일본/말레이시아/싱가포르/태국 외교·관용·일반: 90일 또는 3개월
- 카자흐스탄 일반: 30일 (180일 내 최장 60일 체류)
- 러시아 외교·관용: 90일 / 일반: 60일 (180일 내 90일 초과 불가)
- 멕시코 일반: 3개월
- 독일/그리스/태국 외교·관용: 제한없음","C-3(단기방문) 활동범위를 기본으로 하되 협정에 따라 제외되는 활동은 할 수 없으며, 협정에서 제외되는 활동을 하고자 입국하고자 할 때는 사증을 받아야 함
학업·취업 활동 제외: 러시아, 리투아니아
학업·영리 활동 제외: 도미니카공화국
취업, 스포츠를 포함한 연예활동 제외: 말레이시아
취업 활동 제외: 라이베리아, 방글라데시, 싱가포르, 태국, 터키, 파키스탄, 바베이도스, 칠레, 콜롬비아, 페루, 노르웨이, 덴마크, 스웨덴, 아이슬란드, 영국, 포르투갈, 레소토
영리활동 제외: 그리스, 독일, 리히텐슈타인, 스위스, 스페인, 프랑스, 헝가리, 튀니지
영리·취업·의료 활동 제외: 뉴질랜드
영리·취업 활동 제외: 이스라엘 등
사증면제협정체결 국가 국민인 경우에도 체류기간이 협정기간(통상 3월)을 초과하거나 단기취업 등 영리 혹은 유급행위에 종사하고자 하는 자는 반드시 해당 사증을 발급받아 입국하여야 함",,,,,"외교여권 111, 관용여권 109, 일반여권 67, 선원수첩 19 (2022.9.22. 기준, 발효대기·일시정지 국가 제외)",,,"국가별 협정상의 활동 범위
사증면제협정 체결국가 일람표 (2022.9.22. 기준)
아시아주: 라오스(외교·관용 90일), 말레이시아(외교·관용·일반 3개월), 몽골(외교·관용 90일), 미얀마(외교·관용 90일), 베트남(외교·관용 90일), 싱가포르(외교·관용·일반 90일), 일본(외교·관용 90일), 중국(외교 30일, 관용 30일), 카자흐스탄(외교·관용 90일, 일반 30일), 태국(외교·관용 제한없음, 일반 90일), 인도네시아(외교·관용·공무 30일)
미주: 멕시코(일반 3개월, 외교·관용 90일), 브라질(외교·관용·일반 90일), 칠레(외교·관용·일반 90일), 콜롬비아(외교·관용·일반 90일)
유럽주: 독일(외교·관용 제한없음, 일반 90일), 영국(외교·관용·일반 90일), 프랑스(외교·관용·일반 90일), 러시아(외교·관용 90일, 일반 60일), 이탈리아(외교·관용·일반 90일)
아프리카주: 모로코(외교·관용·일반 90일), 이집트(외교·관용 90일), 튀니지(외교·관용·일반 30일)
대양주: 뉴질랜드(외교·관용·일반 3개월)",,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 15,data/parsed/raw/visa_manual.md:1-287,"B-2, C-3, A-1, A-2","사증면제, 사증면제협정, 협정상 체류기간, 활동범위, 취업 제외, 영리 제외, 국가별 제한, 체결국가","대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 의한 활동을 하려는 자
2. 대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 따라 면제대상이 되는 사람
협정상의 체류기간

C-3(단기방문) 활동범위를 기본으로 하되 협정에 따라 제외되는 활동은 할 수 없으며, 협정에서 제외되는 활동을 하고자 입국하고자 할 때는 사증을 받아야 함
※ 예컨대, 말레이시아 국민이 친선경기 등을 위하여 입국하고자 할 경우에는 비자를 발급받아야 함
사증면제협정체결 국가 국민인 경우에도 체류기간이 협정기간(통상 3월)을 초과 하거나 단기취업 등 영리 혹은 유급행위에 종사하고자 하는 자는 반드시 해당 사증을 발급받아 입국하여야 함

| 외교여권 | 관용여권 | 일반여권 | 선원수첩 |
| --- | --- | --- | --- |
| 111 | 109 | 67 | 19 |
※ 사증면제협정 발효대기․일시정지 국가 제외","우리나라랑 사증면제협정 맺은 국가에서 오면 비자 없이 들어올 수 있어요?
사증면제로 들어오면 얼마나 머물 수 있어요?
사증면제로 들어와서 일해도 되나요?
어떤 나라는 사증면제로 와도 활동에 제한이 있어요?",미검수,
B-2,B-2,사증,사증발급,,,"관광·통과 목적 입국자
국제친선, 관광 또는 대한민국의 이익 등을 위하여 입국하는 사람으로서 대통령령으로 정하는 바에 따라 따로 입국허가를 받은 사람",관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자,,,,"1회 부여 체류기간 상한: 법무부장관이 따로 정하는 기간
활동범위: 관광·통과 (C-3 단기방문 활동범위를 기본으로 하되 상호주의에 따라 활동범위를 별도로 정한 경우 그에 따름)
국가별 무사증 체류기간 (2022.9.22. 기준):
- 일본/마카오/홍콩/타이완/쿠웨이트: 90일
- 사우디아라비아/바레인/브루나이/오만/카타르: 30일
- 미국: 90일
- 캐나다: 6개월
- 호주/세르비아/슬로베니아/크로아티아/에콰도르: 90일
- 모나코/안도라/바티칸 등 유럽소국: 30일","사증면제협정 또는 관광통과 목적으로 입국한 자에 대하여는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 아니하므로 체류기간이 협정기간 또는 법무부장관이 따로 정하는 기간을 초과하는 경우에는 반드시 사증을 발급받아 입국하여야 함
사증면제(B-1), 관광통과(B-2) 자격은 사증발급인정서 발급 제외대상임",,,,,,,,"무사증입국 허가대상 국가 일람표 (2022.9.22. 기준)
아시아주(10): 사우디아라비아 30일, 마카오 90일, 바레인 30일, 브루나이 30일, 오만 30일, 일본 90일, 카타르 30일, 쿠웨이트 90일, 타이완 90일, 홍콩 90일
북미주(2): 미국 90일, 캐나다 6개월
남미주(5): 가이아나 30일, 아르헨티나 30일, 에콰도르 90일, 온두라스 30일, 파라과이 30일
유럽주(11): 모나코 30일, 몬테네그로 30일, 바티칸 30일, 사이프러스 30일, 산마리노 30일, 세르비아 90일, 슬로베니아 90일, 안도라 30일, 알바니아 30일, 크로아티아 90일, 보스니아헤르체고비나 30일
대양주(13): 괌·나우루·뉴칼레도니아·마셜제도·미크로네시아·사모아·솔로몬군도·키리바시·통가·투발루·팔라우·피지 30일, 호주 90일
아프리카주(5): 남아프리카공화국·모리셔스·세이셸·에스와티니 30일, 보츠와나 90일",,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 21,data/parsed/raw/visa_manual.md:288-382,"B-1, C-3","관광통과, 무사증, 관광, 통과, 체류기간 연장, 자격변경 제한, 사증발급인정서 제외, 일람표","관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자
1회 부여 체류기간의 상한: 법무부장관이 따로 정하는 기간
국제친선·관광 또는 대한민국의 이익 등을 위하여 법무부장관이 따로 정하는 국가 국민에 대하여 무사증입국 허용

사증면제협정 또는 관광통과 목적으로 입국한 자에 대하여는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 아니하므로 체류기간이 협정기간 또는 법무부장관이 따로 정하는 기간을 초과하는 경우에는 반드시 사증을 발급받아 입국하여야 함
사증면제(B-1), 관광통과(B-2) 자격은 사증발급인정서 발급 제외대상임

국제친선 ․ 관광 또는 대한민국의 이익 등을 위하여 법무부장관이 따로 정하는 국가 국민에 대하여 무사증입국 허용
아시아주(10) 사우디아라비아 30일, 마카오 90일, 일본 90일, 카타르 30일, 쿠웨이트 90일, 타이완 90일, 홍콩 90일","한국에 관광 목적으로 갈 때 비자 없이 들어갈 수 있어요?
관광통과 자격은 얼마나 머물 수 있어요?
관광으로 한국에 들어왔는데 더 머물 수 있나요?
무사증으로 들어왔는데 다른 비자로 바꿀 수 있어요?",미검수,
C-1,C-1,사증,사증발급,,,"외국 보도기관 파견 단기 취재·보도자
외국 보도기관 계약 단기 취재·보도자
외국 언론사 지사 설치 준비자","외국의 신문, 방송, 잡지, 기타 보도기관으로부터 파견되어 단기간 취재·보도활동을 하려는 자
외국의 보도기관과의 계약에 의하여 단기간 취재·보도활동을 하려는 자
외국 언론사의 지사 설치 준비를 위해 단기간 활동을 하는 자","- 사증발급신청서 (별지 제17호 서식)
- 여권
- 표준규격사진 1매
- 수수료
- 소속회사의 파견증명서, 재직증명서 또는 외신보도증",지사 설치 후 계속 체류하게 되는 자에 대하여 취재(D-5) 자격으로 변경허가 가능,,"1회 부여 체류기간 상한: 90일
활동범위: 일시취재·보도, 외국언론사 지사 설치 준비
체류자격 일시취재(C-1) 자격 해당자에 대한 체류기간 90일 이하의 단수사증 발급",,,,,,,,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 24,data/parsed/raw/visa_manual.md:288-382,D-5,"일시취재, 보도, 외신, 지사 설치, 단기 90일, 사증발급신청서, 파견증명서, 외신보도증","외국의 신문, 방송, 잡지, 기타 보도기관으로부터 파견되어 단기간 취재․보도활동을 하려는 자
외국의 보도기관과의 계약에 의하여 단기간 취재․보도활동을 하려는 자
외국 언론사의 지사 설치 준비를 위해 단기간 활동을 하는 자
※지사 설치 후 계속 체류하게 되는 자에 대하여 취재(D-5) 자격으로 변경허가 가능

① 사증발급신청서 (별지 제17호 서식), 여권, 표준규격사진 1매, 수수료
② 소속회사의 파견증명서, 재직증명서 또는 외신보도증","외국 방송국에서 한국에 취재하러 가려면 어떤 비자를 받아요?
일시취재 비자는 얼마나 머물 수 있어요?
지사 설치 끝나면 비자를 어떻게 바꿔요?
외신기자가 단기 취재로 한국에 가려면 무슨 서류 내야 해요?",미검수,
C-1 (사증발급인정서),C-1,사증,사증발급인정서,사증발급인정서,"특정국가 국민은 원칙적으로 법무부장관, 출입국·외국인청장이 발급한 사증발급인정서에 따라 사증 발급",,,"- 사증발급인정신청서 (별지 제21호 서식)
- 여권사본
- 표준규격사진 1매
- 소속회사의 파견증명서, 재직증명서 또는 외신보도증
대리인 신청시: 위임장, 대리인 재직증명서, 대리인 신분증 사본 추가 제출","사증발급인정서를 제출하지 아니한 자에 대하여는 공관장이 사증발급승인을 요청하여 법무부장관의 승인을 받아 사증을 발급할 수 있음
특정국가 거주 무국적자는 특정국가 국민의 사증발급기준에 준하여 처리",,,,,,,,,,,,,260504 사증민원 자격별 안내 매뉴얼.hwp,p. 25,data/parsed/raw/visa_manual.md:288-382,,"일시취재, 사증발급인정서, 특정국가, 외신보도증, 위임장","1. 특정국가 국민에 대한 일시취재(C-1) 사증발급인정서 발급
① 사증발급인정신청서 (별지 제21호 서식), 여권사본, 표준규격사진 1매
② 소속회사의 파견증명서, 재직증명서 또는 외신보도증
➠ 대리인 신청시 : 위임장, 대리인 재직증명서, 대리인 신분증 사본 추가 제출","특정국가 출신 외신기자는 사증발급인정서가 꼭 필요해요?
대리인이 사증발급인정서를 신청할 때 어떤 서류 더 내요?",미검수,
