비자코드,상위코드,사증·체류,신청종류,신청상황,대상자,자격요건,절차,수수료,사증유효기간,1회부여 체류기간,체류상한,제한,예외,의무사항,점수표,쿼터,초청자,추천·승인기관,제출서류,예상질문,출처,선행자격,다음단계,동반가족,키워드,검수상태,검수메모
공통,공통,체류,공통사항,"외교(A-1), 공무(A-2), 협정(A-3), 영주(F-5), 난민인정자(F-2)·그 가족(F-1), 인도적체류허가자·난민신청자·그 가족(G-1), 무국적자를 제외한 모든 장기 체류자격 외국인

취업이 가능한 체류자격을 가진 외국인

만 6세 이상 만 18세 이하의 모든 체류자격 외국인 (등록·거소외국인)

결핵 고위험국가(35개국) 국민의 사증신청·외국인등록·체류허가 신청 시","결핵 고위험국가 35개국: 네팔, 동티모르, 러시아, 말레이시아, 몽골, 미얀마, 방글라데시, 베트남, 태국, 스리랑카, 우즈베키스탄, 인도, 인도네시아, 중국, 캄보디아, 키르기스스탄, 파키스탄, 필리핀, 라오스, 카자흐스탄, 타지키스탄, 우크라이나, 아제르바이잔, 벨라루스, 몰도바공화국, 나이지리아, 남아프리카공화국, 에티오피아, 케냐, 콩고민주공화국, 모잠비크, 짐바브웨, 앙골라, 페루, 파푸아뉴기니","원칙: 여권 유효기간 범위 내에서 체류기간 부여
잔여 체류기간 내에서 사실상 여권 재발급이 불가능한 경우 1회에 한하여 여권 유효기간 6개월 이하인 경우라도 6개월로 간주하여 6개월 이내에서 체류허가 기간 부여

주재(D-7), 기업투자(D-8), 무역경영(D-9), 교수(E-1)~선원취업(E-10), 거주(F-2), 재외동포(F-4), 결혼이민(F-6), 방문취업(H-2)

국내 90일 초과 체류 목적 사증 신청자
단기체류자격 중 계절근로자(C-4-1~4)
국내 체류 외국인 결핵환자가 가족 등을 간병인으로 초청하는 경우
과거 결핵진단서 제출 후 완전출국 후 새로운 장기체류사증 발급받으려는 경우

[표]
출입국관리법 제87조 등에 따른 체류 관련 수수료 일람","신고시기: 외국인등록 시, 체류자격 변경허가/체류자격외 활동허가/근무처 변경·추가허가(신고)/체류자격 부여허가/체류기간 연장허가 신청 시, 직업 변경 시

공통: 초·중·고교 최초 입학 또는 재학 여부 변경(상급학교 진학 포함) 시 15일 이내 신고
각종 체류허가 시: 외국인등록(거소신고), 체류자격 변경허가, 체류자격외 활동허가, 근무처 변경·추가 허가(신고), 체류자격 부여허가, 체류기간 연장허가 신청 시","체류자격 외 활동허가: 12만원
근무처의 변경·추가: 12만원
체류자격 부여: 8만원
체류자격 변경허가: 10만원 (결혼이민 F-6: 4만원, 영주 F-5: 20만원)
체류기간 연장허가: 6만원 (결혼이민 F-6: 3만원)
단수재입국허가: 3만원
복수재입국허가: 5만원
외국인등록증/거소등록증 발급 및 재발급: 3만 5천원
출입국/외국인등록/국내거소신고 사실증명: 2천원",,,여권 유효기간 범위 내,"적용 제외: 외교(A-1), 공무(A-2), 협정(A-3) 자격 소지자
만 6세 미만 소아 및 임신부 (만 6세 이후 최초 체류허가 신청 시 제출)
고령 또는 질병으로 거동이 불가능한 사람","재외동포(F-4) 자격은 연 소득금액 기재 불요. 국세청과 정보연계로 소득금액증명 제출 생략

미취학자는 미취학으로 표시 (학교명 입력 불요)

출국 행선지가 결핵 고위험국가가 아닌 경우 결핵진단서 제출 대상 아님","직업 및 연간 소득금액을 관할 출입국·외국인관서에 신고

신고내용은 초등학교/중학교/고등학교 중 어느 학교에 재학하는지",,,,,"[필수서류]
외국인 직업 신고서
통합신청서(신고서)의 연 소득금액란 작성

[필수서류]
재학증명서 등 재학 중임을 증명할 수 있는 서류
통합신청서(신고서)의 재학 여부란

[필수서류]
결핵진단서",체류허가 수수료는 얼마인가요? / 외국인 결핵진단서는 어떤 경우에 제출하나요? / 재학증명서 제출 의무가 있는 외국인은 누구인가요?,공통사항: 각종 체류허가 등에 관한 심사수수료 (p. 4),-,-,-,"공통사항, 행정 일반",보류,"5개 공통사항(수수료, 여권유효기간, 직업·소득신고, 재학증명서, 결핵진단서)을 한 행에 통합. 매뉴얼 라인 50-328 범위. 출처 페이지를 p.4~9로 보정 권장. || [자동정정] [예상질문] 적용: '' → '체류허가 수수료는 얼마인가요? / 외국인 결핵진단서는 어떤 경우에 제출하나요? / 재학증명' || [검토필요] [출처] 검토필요: 현재='공통사항: 각종 체류허가 등에 관한 심사수수료 (p. 4)' / 제안='공통사항: 심사수수료/여권유효기간/직업·소득신고/재학증명서/결핵진단서 (p. 4~9)' (사유: 현재 출처는 첫 항목만 명시. 실제 행에는 5개 공통사항이 통합되어 있어 페이지 범위를 4~9로 확장하고 항목 5개를 모두 명시함이 정확) || [2차] 출처를 p.4~9 범위 + 5개 공통사항 항목 모두 명시로 확정. 1차 자동정정(예상질문)은 검증 통과. || [2차검토필요] [출처] 검토필요: 현재='공통사항: 각종 체류허가 등에 관한 심사수수료 (p. 4)' / 제안='공통사항: 심사수수료/여권유효기간/직업·소득신고/재학증명서/결핵진단서 (p. 4~9)' (사유: )"
A-1,A-1,체류,공통사항,,외교사절단·영사기관 구성원과 가족,"대한민국정부가 접수한 외국정부의 외교사절단이나 영사기관의 구성원, 조약 또는 국제관행에 따라 외교사절과 동등한 특권과 면제를 받는 자와 그 가족",,,,재임기간 (1회 부여 체류기간 상한),재임기간 (1회 부여 체류기간 상한),,,,,,,,,외교(A-1) 비자는 누가 받을 수 있나요? / A-1 체류기간은 얼마까지 가능한가요? / 외교관 가족도 A-1 자격으로 입국할 수 있나요?,A-1 외교 / 자격 해당자 및 활동범위 (p. 11~13),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,외교(A-1) 자격 해당자/체류기간 정확. 예상질문 채우면 챗봇 활용 향상. || [자동정정] [예상질문] 적용: '' → '외교(A-1) 비자는 누가 받을 수 있나요? / A-1 체류기간은 얼마까지 가능한가요? /' || [3차요약] 외교(A-1): 외국정부 외교사절단·영사기관 구성원 및 동등 특권 보유자와 동반가족. 체류상한=재임기간 (p.13).
A-1,A-1,체류,체류자격외 활동허가,"1. 주한외국공관원 가족 (상호주의 적용 29개국 국민)
2. 외교(A-1) 국제기구 직원의 동반가족 (배우자/미성년 자녀, 상호주의 비적용)","상호주의 적용 29개국: 일본, 스리랑카, 방글라데시, 이스라엘, 미국, 캐나다, 독일, 영국, 프랑스, 스웨덴, 체코, 폴란드, 러시아, 네덜란드, 벨기에, 헝가리, 뉴질랜드, 덴마크, 노르웨이, 아일랜드, 호주, 파키스탄, 인도, 싱가폴, 포르투갈, 스위스, 에콰도르, 콜롬비아, 페루","1. 외교부장관(외교사절담당관)의 추천을 받은 자
2. 대한민국과 협정을 체결하여 국내에 주소지를 둔 국제기구에서 외교(A-1) 자격으로 근무 중인 직원의 배우자/미성년 자녀","1. (주한외국공관) 외교부 외교사절담당관실로 고용추천서 발급 공한 요청
2. (외교부) 관할 출입국·외국인관서에 고용추천서 공문 발송
3. (동반가족 또는 대리인) 관할 출입국·외국인관서에 체류자격외 활동허가 신청서류 제출",12만원 (주한미국 공관원의 동반가족은 상호주의에 따라 수수료 면제),,,근로계약 범위 내에서 최장 2년 (주한미국대사관 공관원가족은 재임기간 및 고용계약 기간 범위 내 최장 3년),"취업허용 범위: 문화예술(D-1), 종교(D-6), 교수(E-1), 회화지도(E-2), 연구(E-3), 기술지도(E-4), 전문직업(E-5), 예술흥행(E-6) [호텔·유흥 E-6-2 제외], 특정활동(E-7) [숙련기능점수제 E-7-4 제외]
단순노무분야(D-3, E-9, E-10, H-2 등) 제외","주한캐나다대사관 공관원가족: 단순노무분야를 제외한 모든 체류자격
주한미국대사관 공관원가족: 출입국관리법시행령 별표1 및 별표1의2 취업활동 제한 없음, 수수료 면제",,,,,외교부(외교사절담당관),"[필수서류]
여권
통합신청서
외교부(외교사절담당관)에서 받은 고용추천서 (주한외국공관원 가족 케이스)
해당 체류자격별 체류자격외 활동 필요서류 (자격요건 등 구비)",A-1 자격외활동허가 대상 국가는 어디인가요? / 주한미국대사관 공관원 가족 수수료는? / 단순노무 분야도 자격외활동 가능한가요?,A-1 외교 / 체류자격외 활동허가 (p. 13~14),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,"A-1 체류자격외 활동허가 핵심 정보 정확. 추천기관 컬럼 보완 권장. || [자동정정] [추천·승인기관] 적용: '' → '외교부(외교사절담당관)' || [2차 검증] 추천기관 1차 정정 검증 통과. 예상질문 보완 권장. || [2차자동정정] [예상질문] 적용: '' → 'A-1 자격외활동허가 대상 국가는 어디인가요? / 주한미국대사관 공관원 가족 수수료는? /' || [3차요약] A-1 자격외활동: 주한외국공관원 가족(상호주의 29개국). E-1~E-7 등 취업, 최장 2년, 주한미국가족 최장 3년·수수료 면제 (p.13~15)."
A-1,A-1,체류,체류자격 부여,출생일부터 90일 이내 신청,외교(A-1) 자격 소지자의 국내 출생 자녀,,,,,,재임기간 (부양자 A-1 자격 유지 동안),,,,,,,,"[필수서류]
신청서(별지 제34호 서식)
여권
출생증명서 사본
대사관 협조공한
부양자의 외국공관원 신분증",,A-1 외교 / 체류자격 부여 (출생자) (p. 463),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,"A-1 출생자 체류자격 부여. 제출서류는 일치. 출처 p.463 검증 필요(부록일 수 있음). 대상자·체류상한 컬럼 보완 권장. || [자동정정] [체류상한] 적용: '' → '재임기간 (부양자 A-1 자격 유지 동안)' | [대상자] 적용: '' → '외교(A-1) 자격 소지자의 국내 출생 자녀' || [검토필요] [출처] 검토필요: 현재='A-1 외교 / 체류자격 부여 (출생자) (p. 463)' / 제안='A-1 외교 / 체류자격 부여 (출생자) (p. 14)' (사유: 매뉴얼 본문 페이지 번호 체계로는 p.14 부근. 'p. 463'은 부록 페이지 참조 가능성이 있어 확인 필요. 본문 위치는 라인 339) || [2차 정정] 출처 p.463 → p.14로 확정. 1차 자동정정(체류상한, 대상자) 검증 통과. || [2차검토필요] [출처] 검토필요: 현재='A-1 외교 / 체류자격 부여 (출생자) (p. 463)' / 제안='A-1 외교 / 체류자격 부여 (출생자) (p. 14)' (사유: ) || [3차요약] A-1 출생자 체류자격 부여: 90일 이내 신청, 부양자 A-1 자격 유지 동안. 신청서·여권·출생증명서·대사관 협조공한·부양자 신분증 (p.15)."
A-1,A-1,체류,체류자격 변경,"외교사절단·영사기관 구성원, 조약/국제관행상 외교특권자, 또는 그 동반가족이 외교(A-1) 자격 이외의 자격으로 입국 시 외교(A-1) 자격으로 변경",,청장·사무소장·출장소장 위임,,,,,"외교(A-1), 체류기간(재직기간 내)",,,,,,,,"[필수서류]
신청서, 여권
구성원: 자국 대사관의 협조 공문, 파견·재직을 증명하는 서류
외교특권자: 파견·재직을 증명하는 서류
동반가족: 출생증명서, 가족관계증명서 등 가족관계 입증서류, 본인의 신분증 및 파견·재직 증명 서류",,A-1 외교 / 체류자격 변경허가 (p. 14),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)","동반가족도 A-1 (배우자·자녀)

[표]
외교(A-1) 자격 부여 대상 동반가족 범위 6개 항목

1. 법적 혼인관계의 배우자
2. 민법 제4조에 따른 미성년인 미혼 동거 자녀
3. 「초·중등교육법」 학교 정규학생으로 등록된 20세 이하 미혼 동거자녀
4. 대학 이상 학술 연구기관 정규 과정 26세 이하 미혼동거 자녀
5. 본인 또는 배우자의 60세 이상 부모 (소득활동 비종사)
6. 민법상 성년의 미혼동거 자녀로 별도 생계유지가 불가능한 장애인","외교, 외교관, 공무·외교, 협정",완료,[3차요약] A-1 체류자격 변경: 외교사절단·영사기관 구성원 및 동반가족이 A-1 이외 자격으로 입국 시 A-1로 변경. 동반가족 6개 범위 명시 (p.15~16).
A-1,A-1,체류,체류기간 연장,재임기간 범위 내 체류기간 연장,,,,수수료 면제,,,재임기간 범위 내,,,,,,,,"[필수서류]
체류자격 변경허가와 동일 (수수료 면제)",,A-1 외교 / 체류기간 연장허가 (p. 15),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,"[3차요약] A-1 체류기간 연장: 재임기간 범위 내, 수수료 면제. 제출서류는 변경허가와 동일 (p.16)."
A-1,A-1,체류,재입국허가,출국한 날로부터 1년 이내 재입국하려는 경우 면제. 단수사증을 소지한 외교(A-1)~협정(A-3) 소지자 중 재임기간 내 재입국 시 가능,,,,,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),,재임기간 중 유효한 복수사증이 있는 경우는 재입국이 불필요,,,,,,"[필수서류]
신청서(별지34호)
여권
외교관 신분증
대사관 협조 공한
재직 증명 서류",,A-1 외교 / 재입국허가 (p. 14~15),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,A-1 재입국허가 정보 정확. '사증유효기간' 컬럼에 재입국허가 내용 중복 입력됨 - 비움 권장. || [검토필요] [사증유효기간] 검토필요: 현재='국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능)' / 제안='(비움 또는 N/A)' (사유: '사증유효기간'은 사증 자체의 유효기간(개월)을 위한 컬럼. 재입국허가 기간은 '체류상한'에 이미 동일 내용이 있어 중복. '사증유효기간' 컬럼) || [3차요약] A-1 재입국허가: 출국 1년 이내 면제. 단수사증자는 재임기간 내 재입국 신청 가능. 복수사증 보유 시 불필요 (p.17).
A-1,A-1,체류,외국인등록,외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급,,,,,,,,,"등록외국인에게 부여되는 각종 의무(등록사항변경 신고, 체류지 변경 신고 등)도 적용 면제",,,,,,"[필수서류]
신청서(별지 제34호)
여권원본
반명함판 천연색 사진 (3.5×4.5cm)
주한외국공관원 신분증 등 신분 입증서류",,A-1 외교 / 외국인등록 (p. 15),외국 정부에서 외교사절단·영사기관 구성원으로 파견,"A-2 공무, F-2 거주 (장기체류 변경)",동반가족도 A-1 (배우자·자녀),"외교, 외교관, 공무·외교, 협정",완료,[3차요약] A-1 외국인등록: 면제 대상이나 원하면 외국인등록증 발급 가능. 등록 시 등록사항변경·체류지 변경 신고 등 의무도 면제 (p.17).
A-2,A-2,체류,공통사항,,외국정부·국제기구 공무수행자와 가족,대한민국정부가 승인한 외국정부 또는 국제기구의 공무를 수행하는 자와 그 가족,,,,공무수행기간 (1회 부여 체류기간 상한),공무수행기간 (1회 부여 체류기간 상한),,,,,,,,,,A-2 공무 (p. 15~16),외국 정부 파견 공무원,"A-1 외교, F-2 거주",동반가족도 A-2,"공무, 정부 파견, 공무·외교",완료,A-2 공무 공통사항 정확. 대상자 컬럼 보완으로 row 1과 일관성 확보 권장. || [자동정정] [대상자] 적용: '' → '외국정부·국제기구 공무수행자와 가족' || [3차요약] 공무(A-2): 외국정부·국제기구 공무수행자와 가족. 체류상한=공무수행기간 (p.17).
A-2,A-2,체류,체류자격외 활동허가,"주한외국공관원 가족 (상호주의 29개국), 국제기구 직원의 동반가족","상호주의 적용 29개국: 일본, 스리랑카, 방글라데시, 이스라엘, 미국, 캐나다, 독일, 영국, 프랑스, 스웨덴, 체코, 폴란드, 러시아, 네덜란드, 벨기에, 헝가리, 뉴질랜드, 덴마크, 노르웨이, 아일랜드, 호주, 파키스탄, 인도, 싱가폴, 포르투갈, 스위스, 에콰도르, 콜롬비아, 페루",,외교부 추천 → 출입국·외국인관서에 공문 발송 → 가족/대리인이 신청서류 제출,12만원,,,근로계약 범위 내 최장 2년,"단순노무분야(D-3, E-9, E-10, H-2) 제외","주한캐나다대사관 공관원가족: 단순노무분야를 제외한 모든 체류자격. 주한미국대사관 공관원가족: 출입국관리법시행령 별표1·1의2 취업활동 제한 없음, 수수료 면제",,,,,외교부(외교사절담당관),"[필수서류]
여권, 통합신청서
외교부 고용추천서 (외국공관원 가족 케이스)",,A-2 공무 / 체류자격외 활동허가 (p. 16),외국 정부 파견 공무원,"A-1 외교, F-2 거주",동반가족도 A-2,"공무, 정부 파견, 공무·외교",완료,"A-2 자격외활동허가. row 2(A-1)와 비교하면 대상자/예외/추천기관 누락. 데이터 일관성 보완 필요. || [자동정정] [대상자] 적용: '' → '상호주의 적용 29개국: 일본, 스리랑카, 방글라데시, 이스라엘, 미국, 캐나다, 독일, ' | [예외] 적용: '' → '주한캐나다대사관 공관원가족: 단순노무분야를 제외한 모든 체류자격. 주한미국대사관 공관원가족' | [추천·승인기관] 적용: '' → '외교부(외교사절담당관)' | [출처] 적용: 'A-2 공무 / 체류자격외 활동허가 (p. 14)' → 'A-2 공무 / 체류자격외 활동허가 (p. 16)' || [3차요약] A-2 자격외활동: 주한외국공관원 가족(상호주의 29개국). 최장 2년, 단순노무 제외, 주한미국가족 수수료 면제·취업 제한 없음 (p.17~18)."
