비자코드,상위코드,사증·체류,신청종류,하위프로그램,신청상황,대상,자격요건,제출서류,절차,수수료,기간,제한,예외,의무사항,공통사항,점수표,쿼터,초청자,추천·승인기관,표 데이터,페이지,연계비자,키워드,예상질문,검수상태,검수메모
공통,공통,체류,공통사항,,"아래 외국인을 제외한 모든 장기 체류자격 외국인
외교(A-1), 공무(A-2), 협정(A-3), 영주(F-5), 난민인정자(F-2)·그 가족(F-1), 인도적체류허가자·난민신청자·그 가족(G-1), 무국적자는 제외
취업이 가능한 체류자격을 가진 외국인
주재(D-7), 기업투자(D-8), 무역경영(D-9), 교수(E-1)~선원취업(E-10), 거주(F-2), 재외동포(F-4), 결혼이민(F-6), 방문취업(H-2)
만 6세 이상 만 18세 이하의 모든 체류자격 외국인
국내에 90일 초과하여 체류할 목적으로 사증을 신청하는 자
단기체류자격 중 계절근로자(C-4-1~4) 및 국내 체류 중인 외국인 결핵환자가 가족 등을 간병인으로 초청하는 경우
결핵고위험국가 국민이 장기체류 가능한 복수사증을 소지하고 사증 발급일로부터 6개월이 지나서 입국한 경우",만 6세 이상 만 18세 이하 등록(거소) 외국인,"체류자격 부여, 체류기간 연장, 체류자격 변경, 근무처 변경·추가 민원업무에 적용
(원칙) 여권 유효기간 범위 내에서 체류기간 부여
(`22.7.1.이후) 잔여 체류기간 내에서 사실상 여권 재발급이 불가능한 경우 1회에 한하여 여권 유효기간 6개월 이하인 경우라도, 여권 유효기간을 6개월로 간주하여 6개월 이내에서 체류허가 기간 부여
출입국관리법 시행규칙 제47조, 제49조의2에 따라 취업할 수 있는 체류자격을 가진 외국인은 외국인등록 및 각종 체류허가 신청 시에 본인의 직업 및 연간 소득금액을 관할 출입국·외국인관서에 신고
신고시기: 외국인등록 시 / 체류자격 변경허가, 체류자격외 활동허가, 근무처변경·추가허가(신고), 체류자격 부여허가, 체류기간 연장허가 신청 시 / 직업 변경 시
초·중·고교 최초 입학 또는 재학 여부 변경(상급학교 진학 포함) 시 15일 이내 신고
각종 체류허가 시: 외국인등록(거소신고), 체류자격 변경허가, 체류자격외 활동허가, 근무처 변경·추가 허가(신고), 체류자격 부여허가, 체류기간 연장허가 신청 시
사증 신청 시: 국내 90일 초과 체류 목적 사증 신청자 (전자사증 대상자는 외국인등록 시 제출)
과거 결핵진단서 제출 후 완전출국 후 새로운 장기체류사증 발급받으려는 경우
체류허가 신청 시: 단기→장기 변경, 결핵고위험국가 국민 중 `16.3.2. 이후 미제출자, 1년 이내 연속 6개월 이상 결핵고위험국가 장기체류자","재학 중인 경우 재학증명서 등 재학 중임을 증명할 수 있는 서류
- 결핵진단서 (발급한 의료기관에서 봉투에 밀봉된 상태로 제출, 개봉 불가)","직업: 각종 체류허가 신청 시 「외국인 직업 신고서」 작성하여 제출
연간 소득금액: 각종 체류허가 신청 시 「통합신청서(신고서)」 '연 소득금액'란에 작성하여 제출 (재외동포(F-4) 자격은 연 소득금액 기재 불요)
국세청과 정보연계를 통해 소득금액증명 제출 생략
각종 체류허가 신청 시 「통합신청서(신고서)」 '재학 여부'란에 재학 중인 학교명 등 기재하여 제출
미취학자는 재학 여부에 '미취학'으로 표시(학교명 입력 불요)","체류자격 외 활동허가: 12만원
근무처의 변경·추가: 12만원
체류자격 부여: 8만원
결혼이민(F-6) 체류자격 부여: 4만원
체류자격 변경허가: 10만원
영주(F-5)자격 변경허가: 20만원
체류기간 연장허가: 6만원
결혼이민(F-6) 체류기간 연장허가: 3만원
단수재입국허가: 3만원
복수재입국허가: 5만원
외국인등록증 발급 및 재발급: 3만 5천원
거소등록증 발급 및 재발급: 3만 5천원
출입국에 관한 사실증명: 2천원
외국인등록 사실증명: 2천원
국내거소신고 사실증명: 2천원","여권 유효기간 범위 내에서 체류기간 부여 (원칙)
여권 재발급 불가능한 경우 1회에 한하여 유효기간 6개월 이하라도 6개월로 간주하여 체류허가",,"외교(A-1), 공무(A-2), 협정(A-3), 영주(F-5), 난민인정자(F-2)·그 가족(F-1), 인도적체류허가자·난민신청자·그 가족(G-1), 무국적자는 적용 제외
재외동포(F-4) 자격은 연 소득금액 기재 불요
외교(A-1), 공무(A-2), 협정(A-3) 자격 소지자
만 6세 미만 소아(만 6세 이후 최초 체류허가 신청 시 제출) 및 임신부
고령 또는 질병으로 거동이 불가능한 사람
출국 행선지가 결핵 고위험국가가 아닌 경우 제출 대상 아님","취업이 가능한 체류자격 외국인은 외국인등록 및 각종 체류허가 신청 시 직업 및 연간소득금액 신고 의무
직업 변경 시에도 신고 의무
초·중·고교 최초 입학 또는 재학 여부 변경 시 15일 이내 신고 의무
각종 체류허가 신청 시 재학 여부 신고 의무",,,,,,"각종 체류허가 신청 시 적용되는 심사수수료 표
체류자격 외 활동허가 / 12만원
근무처의 변경·추가 / 12만원
체류자격 부여 / 8만원
결혼이민(F-6) 부여 / 4만원
체류자격 변경허가 / 10만원
영주(F-5) 변경허가 / 20만원
체류기간 연장허가 / 6만원
결혼이민(F-6) 연장 / 3만원
단수재입국허가 / 3만원
복수재입국허가 / 5만원
결핵 고위험국가 35개국 목록
네팔, 동티모르, 러시아, 말레이시아, 몽골, 미얀마, 방글라데시, 베트남, 태국, 스리랑카, 우즈베키스탄, 인도, 인도네시아, 중국, 캄보디아, 키르기스스탄, 파키스탄, 필리핀, 라오스, 카자흐스탄, 타지키스탄, 우크라이나, 아제르바이잔, 벨라루스, 몰도바공화국, 나이지리아, 남아프리카공화국, 에티오피아, 케냐, 콩고민주공화국, 모잠비크, 짐바브웨, 앙골라, 페루, 파푸아뉴기니",p. 5~8,"F-5, F-6, A-1, A-2, A-3, F-2, F-1, G-1, D-7, D-8, D-9, E-1, E-10, F-4, H-2, C-4-1","심사수수료, 체류허가 수수료, 영주, 결혼이민, 재입국허가, 외국인등록증, 여권 유효기간, 체류기간 부여","체류자격 변경허가 신청 수수료가 얼마예요?
영주권 신청할 때 수수료는 얼마인가요?
외국인등록증 재발급 받으려면 얼마 내요?
수수료 한 번 내면 환불 받을 수 있어요?",미검수,
A-1,A-1,체류,체류자격외 활동허가,,"외교(A-1) 자격을 소지한 주한외국공관원 가족 (상호주의에 따라 외교부장관(외교사절담당관)의 추천을 받은 자)
외교(A-1) 자격을 소지한 국제기구 직원의 동반가족 (상호주의 비적용)","주한외국공관원 동반가족
국제기구 직원 동반가족 (배우자 및 미성년 자녀)
녹색기후기금(GCF) 사무국 직원의 경제적으로 부양 자녀 포함","주한외국공관원 가족: 외교부 외교사절담당관의 고용추천서 필수
국제기구 직원 동반가족: 대한민국과 협정 체결하여 국내 주소지를 둔 국제기구에서 외교(A-1) 자격으로 근무 중인 직원의 배우자 및 미성년 자녀
취업허용 국가: '24.1월 현재 29개 국가
일본,스리랑카,방글라데시,이스라엘,미국,캐나다,독일,영국,프랑스,스웨덴,체코,폴란드,러시아,네덜란드,벨기에,헝가리,뉴질랜드,덴마크,노르웨이,아일랜드,호주,파키스탄,인도,싱가폴,포르투갈,스위스,에콰도르,콜롬비아,페루
취업허용 범위: 문화예술(D-1), 종교(D-6), 교수(E-1), 회화지도(E-2), 연구(E-3), 기술지도(E-4), 전문직업(E-5), 예술흥행(E-6) [단, 호텔·유흥(E-6-2) 제외], 특정활동(E-7) [단, 숙련기능점수제(E-7-4) 제외]","- 여권
- 통합신청서
- 수수료 (자격외 활동 12만원, 주한 미국 공관원 동반가족은 면제)
- 외교부(외교사절담당관)에서 받은 고용추천서 (주한외국공관원 가족만 필수)
- 해당 체류자격별 체류자격외 활동 필요서류","① (주한외국공관) 외교부 외교사절담당관실로 고용추천서 발급 공한 요청
② (외교부) 관할 출입국·외국인관서에 고용추천서 공문 발송
③ (동반가족 또는 대사관직원 등 대리인) 관할 출입국·외국인관서에 체류자격외 활동허가 신청서류, 외교부 고용추천서 등 제출",수수료 자격외 활동 12만원 (주한 미국 공관원 동반가족은 상호주의에 따라 면제),"1회 최대 허가기간: 근로계약 범위 내에서 최장 2년까지
주한미국대사관 공관원가족: 재임기간 및 고용계약 기간 범위 내 최장 3년
국제기구 직원 동반가족: 1년 (체류자격외 활동허가 일반원칙)","국제기구 직원 동반가족: 기술연수(D-3), 비전문취업(E-9), 선원취업(E-10), 방문취업(H-2) 등 단순노무 분야 제외 모든 체류자격
공관원 가족 일반 취업허용 범위에서 호텔·유흥(E-6-2), 숙련기능점수제(E-7-4) 제외","주한캐나다대사관 공관원가족: 단순노무분야(D-3, E-9, E-10, H-2 등) 제외한 모든 체류자격(기준충족자) 확대 적용 ('09.3.9)
주한미국대사관 공관원가족: 「출입국관리법시행령」 별표1 및 별표1의2의 체류자격 구분에 따른 취업활동의 제한을 받지 않음 ('22.1.17.)",,,,,,,외교(A-1) 동반가족 체류자격외 활동 취업허용 국가 및 범위,p. 13,"D-1, D-3, D-6, E-1, E-2, E-3, E-4, E-5, E-6, E-7, E-9, E-10, H-2","외교, 주한외국공관원 가족, 자격외 활동, 고용추천서, 상호주의","외교관 가족인데 한국에서 일할 수 있어요?
공관원 가족이 일할 수 있는 직종은 어디까지인가요?
국제기구 직원 가족도 자격외 활동 허가 받을 수 있나요?
미국 대사관 가족은 다른 사람들이랑 조건이 달라요?",미검수,
A-1,A-1,체류,체류자격 부여,,외교(A-1) 자격 부여 대상 동반가족 또는 국내 출생자,,출생일부터 90일 이내 신청,"- 신청서(별지 제34호 서식)
- 여권
- 출생증명서 사본
- 대사관 협조공한
- 부양자의 외국공관원 신분증",,8만원,,,,,,,,,,,p. 14,,"외교, 체류자격 부여, 출생증명서, 외국공관원 신분증","한국에서 아이가 태어났는데 외교 비자 어떻게 받아요?
체류자격 부여 신청은 언제까지 해야 해요?
출생증명서 외에 어떤 서류가 필요한가요?",미검수,
A-1,A-1,체류,체류자격 변경,,외교(A-1) 자격 이외의 자격으로 입국한 후 외교(A-1) 자격으로 변경하려는 자,"외교사절단·영사기관 구성원 및 동반가족
동반가족 범위:
1. 법적 혼인관계의 배우자 (파견국 법령상 법적 혼인관계, 복수 배우자는 1명만 인정)
2. 민법 제4조에 따른 미성년인 미혼 동거 자녀
3. 주한공관원과 함께 거주하며 초·중등교육법 제2조 학교의 정규 학생으로 등록된 20세 이하 미혼 동거자녀 ('22.11.01)
4. 대학 이상 학술 연구기관의 정규 과정 교육·연구 26세 이하 미혼동거 자녀
5. 본인 또는 배우자의 60세 이상 부모로서 소득 활동에 종사하지 않는 조건으로 입국한 자
6. 민법상 성년의 미혼동거 자녀로 별도 생계유지가 불가능한 장애인","① 대한민국 정부가 접수한 외국정부의 외교사절단이나 영사기관의 구성원
② 조약 또는 국제관행에 따라 외교사절과 동등한 특권과 면제를 받는 자
③ ① 또는 ②에 해당하는 사람의 동반가족","① 외교사절단·영사기관 구성원: 신청서, 여권, 자국 대사관의 협조 공문, 파견·재직 증명 서류
② 외교사절 동등 특권자: 신청서, 여권, 파견·재직 증명 서류
③ 동반가족: 신청서, 여권, 출생증명서·가족관계증명서 등 가족관계 입증서류, ① 또는 ②에 해당하는 사람의 신분증 및 파견·재직 증명 서류",,10만원,"외교(A-1), 체류기간(재직기간 내)",,"청(사무소·출장소)장은 입국목적, 초청의 진정성, 초청자 및 피초청자의 자격 확인 등을 심사하기 위해 특히 필요한 경우 첨부서류를 일부 가감 가능",,,,,,,외교(A-1) 자격 부여 대상 동반가족 범위 6가지,p. 14,,"외교, 체류자격 변경, 외교사절단, 동반가족 범위, 파견·재직 증명","외교관 동반 가족으로 한국에 들어왔는데 외교 자격으로 바꿀 수 있어요?
동반가족 범위에 부모님도 들어가나요?
성인 자녀도 외교관 가족 자격을 받을 수 있어요?
외교 자격 변경할 때 어떤 서류 내요?",미검수,
A-1,A-1,체류,체류기간 연장,,,,,"체류자격 변경허가와 동일
수수료 면제",,수수료 면제,재임기간 범위 내 체류기간 연장,,,,,,,,,,p. 15,,"외교, 체류기간 연장, 재임기간, 수수료 면제","외교 비자 기간을 더 연장할 수 있나요?
얼마나 더 머물 수 있어요?
연장 신청할 때 수수료는 얼마예요?",미검수,
A-1,A-1,체류,재입국허가,,"단수사증을 소지한 외교(A-1)~협정(A-3) 소지자 중 재임기간(공무수행기간, 신분존속기간 또는 협정상의 체류기간) 내에 재입국하고자 하는 자",,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),"- 신청서(별지 34호)
- 여권
- 외교관 신분증
- 대사관 협조 공한
- 재직 증명 서류",,단수 3만원 / 복수 5만원,,,"출국한 날로부터 1년 이내 재입국하려는 경우 면제
재임기간 중 유효한 복수사증이 있는 경우는 재입국이 불필요",,,,,,,,p. 15,"A-2, A-3","외교, 재입국허가, 단수재입국, 복수재입국, 면제","외교관인데 잠시 출국했다가 다시 들어올 때 허가 필요해요?
1년 안에 돌아오면 따로 절차가 없어요?
재입국 허가 받을 때 어떤 서류 내요?",미검수,
A-1,A-1,체류,외국인등록,,외교(A-1) 자격 소지자 (외국인등록 면제 대상이나 본인이 원할 경우),,,"- 신청서(별지 제34호)
- 여권원본
- 반명함판 천연색 사진(3.5×4.5㎝)
- 주한외국공관원 신분증 등 신분 입증서류",,외국인등록증 발급·재발급 3만 5천원,,,"외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급
기타 등록외국인에게 부여되는 각종 의무(등록사항변경 신고, 체류지 변경 신고 등)도 적용 면제","외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급 가능
등록사항변경 신고, 체류지 변경 신고 등 의무 면제",,,,,,,p. 19~21,,"외교, 외국인등록, 외국인등록증, 면제 대상, 신분 입증서류","외교관인데 외국인등록증 꼭 받아야 해요?
외국인등록 면제 받는데 신청해도 되나요?
등록할 때 어떤 서류 내야 해요?",미검수,
A-2,A-2,체류,체류자격외 활동허가,,"공무(A-2) 자격을 소지한 주한외국공관원 가족 (상호주의에 따라 외교부장관(외교사절담당관)의 추천을 받은 자)
공무(A-2) 자격을 소지한 국제기구 직원의 동반가족 (상호주의 비적용)","주한외국공관원 동반가족
국제기구 직원 동반가족 (배우자 및 미성년 자녀)
녹색기후기금(GCF) 사무국 직원의 경제적으로 부양 자녀 포함","주한외국공관원 가족: 외교부 외교사절담당관의 고용추천서 필수
국제기구 직원 동반가족: 대한민국과 협정 체결하여 국내 주소지를 둔 국제기구에서 공무(A-2) 자격으로 근무 중인 직원의 배우자 및 미성년 자녀
취업허용 국가: '24.1월 현재 29개 국가
일본,스리랑카,방글라데시,이스라엘,미국,캐나다,독일,영국,프랑스,스웨덴,체코,폴란드,러시아,네덜란드,벨기에,헝가리,뉴질랜드,덴마크,노르웨이,아일랜드,호주,파키스탄,인도,싱가폴,포르투갈,스위스,에콰도르,콜롬비아,페루
취업허용 범위: 문화예술(D-1), 종교(D-6), 교수(E-1), 회화지도(E-2), 연구(E-3), 기술지도(E-4), 전문직업(E-5), 예술흥행(E-6) [단, 호텔·유흥(E-6-2) 제외], 특정활동(E-7) [단, 숙련기능점수제(E-7-4) 제외]","- 여권
- 통합신청서
- 수수료 (자격외 활동 12만원, 주한 미국 공관원 동반가족은 면제)
- 외교부(외교사절담당관)에서 받은 고용추천서 (주한외국공관원 가족만 필수)
- 해당 체류자격별 체류자격외 활동 필요서류","① (주한외국공관) 외교부 외교사절담당관실로 고용추천서 발급 공한 요청
② (외교부) 관할 출입국·외국인관서에 고용추천서 공문 발송
③ (동반가족 또는 대사관직원 등 대리인) 관할 출입국·외국인관서에 체류자격외 활동허가 신청서류, 외교부 고용추천서 등 제출",수수료 자격외 활동 12만원 (주한 미국 공관원 동반가족은 상호주의에 따라 면제),"1회 최대 허가기간: 근로계약 범위 내에서 최장 2년까지
주한미국대사관 공관원가족: 재임기간 및 고용계약 기간 범위 내 최장 3년
국제기구 직원 동반가족: 1년 (체류자격외 활동허가 일반원칙)","국제기구 직원 동반가족: 기술연수(D-3), 비전문취업(E-9), 선원취업(E-10), 방문취업(H-2) 등 단순노무 분야 제외 모든 체류자격
공관원 가족 일반 취업허용 범위에서 호텔·유흥(E-6-2), 숙련기능점수제(E-7-4) 제외","주한캐나다대사관 공관원가족: 단순노무분야(D-3, E-9, E-10, H-2 등) 제외한 모든 체류자격(기준충족자) 확대 적용 ('09.3.9)
주한미국대사관 공관원가족: 「출입국관리법시행령」 별표1 및 별표1의2의 체류자격 구분에 따른 취업활동의 제한을 받지 않음 ('22.1.17.)",,,,,,,공무(A-2) 동반가족 체류자격외 활동 취업허용 국가 및 범위,p. 16,"D-1, D-3, D-6, E-1, E-2, E-3, E-4, E-5, E-6, E-7, E-9, E-10, H-2","공무, 주한외국공관원 가족, 자격외 활동, 고용추천서, 상호주의","공무 비자 가족도 한국에서 일할 수 있어요?
공관원 가족 자격외 활동은 무슨 직종이 가능해요?
국제기구 직원 가족도 동일하게 허가 받나요?",미검수,
A-2,A-2,체류,체류자격 부여,,국내 출생자 등 공무(A-2) 자격 부여 대상자,,출생일부터 90일 이내 신청,"본인:
① 신청서(별지 제34호 서식), 여권
② 파견·재직을 입증하는 서류 또는 자국 소속부처의 장의 협조공문
부양가족:
① 신청서(별지 제34호 서식), 여권
② 출생증명서 등 신분관계 입증서류
③ 부양자의 공무수행을 증명하는 신분증",,8만원,,,,,,,,,,,p. 18,,"공무, 체류자격 부여, 부양가족, 공무수행 증명","공무 자격 부양가족은 어떤 서류 내야 하나요?
한국에서 자녀가 태어났을 때 공무 자격 부여 가능해요?
부양자의 공무수행 증명은 무엇으로 해요?",미검수,
A-2,A-2,체류,체류자격 변경,,공무(A-2) 자격 이외의 자격으로 입국한 후 공무(A-2) 자격으로 변경하려는 자,"공무 본인 및 부양가족
동반가족 범위:
1. 법적 혼인관계의 배우자 (파견국 법령상 법적 혼인관계, 복수 배우자는 1명만 인정)
2. 민법 제4조에 따른 미성년인 미혼 동거 자녀
3. 주한공관원과 함께 거주하며 초·중등교육법 제2조 학교의 정규 학생으로 등록된 20세 이하 미혼 동거자녀
4. 대학 이상 학술 연구기관의 정규 과정 교육·연구 26세 이하 미혼동거 자녀
5. 본인 또는 배우자의 60세 이상 부모로서 소득 활동에 종사하지 않는 조건으로 입국한 자
6. 민법상 성년의 미혼동거 자녀로 별도 생계유지가 불가능한 장애인",,"본인:
① 신청서(별지 제34호 서식), 여권
② 파견·재직을 입증하는 서류 또는 자국 소속부처의 장의 협조공문
부양가족:
① 신청서(별지 제34호 서식), 여권
② 출생증명서 등 신분관계 입증서류
③ 부양자의 공무수행을 증명하는 신분증",,10만원,,,,,,,,,,공무(A-2) 자격 부여 대상 동반가족 범위 6가지,p. 18,,"공무, 체류자격 변경, 동반가족 범위, 공무수행 증명","공무 자격으로 자격변경 어떻게 해요?
공무 자격 동반가족 범위는 어디까지인가요?
부모님도 공무 자격으로 같이 받을 수 있나요?",미검수,
