source,target,weight
subsection_type:기타,item_type:stay_status_rule,1025
subsection_type:기타,item_type:visa_rule,753
subsection_type:대상,item_type:stay_status_rule,631
subsection_type:요건,item_type:stay_status_rule,599
petition_type:체류자격 변경,subsection_type:기타,508
manual:체류민원,code:E-7,489
subsection_type:제출서류,item_type:required_documents,472
manual:체류민원,code:D-2,428
subsection_type:대상,item_type:visa_rule,419
code:E-7,petition_type:사증발급,350
subsection_type:요건,item_type:visa_rule,318
petition_type:사증발급,subsection_type:기타,318
subsection_type:제한,item_type:restriction,295
manual:체류민원,code:F-5,295
manual:사증민원,code:E-2,293
petition_type:외국인등록,subsection_type:기타,288
manual:체류민원,code:F-2,287
manual:체류민원,code:F-6,284
manual:사증민원,code:E-7,270
petition_type:사증발급,subsection_type:요건,256
petition_type:사증발급,subsection_type:대상,252
subsection_type:기간,item_type:stay_status_rule,237
subsection_type:예외,item_type:exception,221
petition_type:체류자격 변경,subsection_type:대상,221
subsection_type:수수료,item_type:fee,218
petition_type:체류자격 변경,subsection_type:요건,216
code:E-7,document_bucket:필수서류,207
petition_type:초청,subsection_type:기타,207
manual:체류민원,code:F-4,203
code:F-5,petition_type:체류자격 변경,201
manual:체류민원,code:E-9,200
code:F-6,petition_type:초청,191
petition_type:사증발급인정서,subsection_type:기타,188
manual:사증민원,code:C-3,186
manual:사증민원,code:F-5,182
petition_type:외국인등록,subsection_type:대상,174
code:H-2,petition_type:체류자격 변경,159
code:F-4,petition_type:체류자격 변경,157
code:C-3,petition_type:사증발급,149
manual:사증민원,code:F-4,147
petition_type:초청,subsection_type:대상,145
code:E-2,petition_type:사증발급,138
petition_type:근무처 변경/추가,subsection_type:기타,137
code:F-6,document_bucket:필수서류,137
code:E-7,petition_type:체류자격 변경,133
subsection_type:기간,item_type:visa_rule,129
petition_type:초청,subsection_type:요건,125
petition_type:사증발급,subsection_type:제출서류,124
code:F-2,petition_type:체류자격 변경,121
code:F-6,petition_type:외국인등록,117
manual:체류민원,code:H-2,111
manual:사증민원,code:B-1,110
petition_type:외국인등록,subsection_type:요건,109
code:F-5,petition_type:외국인등록,109
manual:사증민원,code:F-6,108
manual:체류민원,code:D-10,106
code:F-5,document_bucket:필수서류,104
manual:사증민원,code:D-10,101
petition_type:체류자격 변경,subsection_type:제한,101
code:E-2,document_bucket:필수서류,100
manual:사증민원,code:H-2,97
petition_type:초청,subsection_type:제출서류,95
code:F-4,petition_type:사증발급인정서,95
code:D-10,petition_type:초청,95
code:E-7,petition_type:근무처 변경/추가,92
code:E-9,petition_type:체류자격 변경,92
manual:체류민원,code:F-1,91
petition_type:사증발급인정서,subsection_type:대상,88
petition_type:외국인등록,subsection_type:수수료,86
code:D-2,petition_type:근무처 변경/추가,86
code:D-2,petition_type:사증발급,86
code:D-2,document_bucket:필수서류,84
subsection_type:절차,item_type:stay_status_rule,81
subsection_type:절차,item_type:visa_rule,80
code:B-1,petition_type:사증발급,80
code:F-6,document_bucket:공통서류,80
code:D-2,petition_type:외국인등록,79
petition_type:외국인등록,subsection_type:기간,78
code:F-6,document_bucket:기타서류,77
code:E-7,petition_type:외국인등록,77
code:F-2,document_bucket:필수서류,73
code:D-10,document_bucket:필수서류,73
manual:체류민원,code:D-8,72
manual:사증민원,code:E-9,72
petition_type:외국인등록,subsection_type:제출서류,72
petition_type:사증발급,subsection_type:기간,71
manual:사증민원,code:D-8,71
code:F-2,petition_type:외국인등록,70
petition_type:체류자격 변경,subsection_type:제출서류,70
manual:사증민원,code:D-4,69
petition_type:근무처 변경/추가,subsection_type:요건,67
manual:체류민원,code:E-1,66
code:E-9,petition_type:사증발급인정서,66
subsection_type:추천/승인,item_type:visa_rule,63
petition_type:체류기간 연장,subsection_type:요건,63
subsection_type:추천/승인,item_type:stay_status_rule,62
code:D-2,petition_type:사증발급인정서,61
petition_type:사증발급,subsection_type:예외,61
manual:체류민원,code:B-1,60
code:D-8,document_bucket:필수서류,60
petition_type:체류자격 변경,subsection_type:기간,60
petition_type:체류기간 연장,subsection_type:기간,60
code:E-7,document_bucket:기타서류,60
manual:체류민원,code:D-4,60
manual:사증민원,code:D-3,60
petition_type:사증발급인정서,subsection_type:요건,59
code:D-2,petition_type:체류자격 변경,57
code:E-9,petition_type:외국인등록,57
petition_type:사증발급,subsection_type:수수료,57
manual:체류민원,code:C-3,57
petition_type:근무처 변경/추가,subsection_type:대상,56
petition_type:사증발급,subsection_type:추천/승인,56
subsection_type:점수표,item_type:score_table,55
manual:체류민원,code:G-1,55
manual:사증민원,code:E-1,53
manual:체류민원,code:D-3,52
code:C-3,document_bucket:필수서류,51
code:D-10,document_bucket:기타서류,51
code:F-5,petition_type:사증발급,50
code:F-2,document_bucket:기타서류,50
manual:체류민원,code:E-2,49
code:E-2,petition_type:근무처 변경/추가,49
code:F-1,document_bucket:필수서류,47
code:D-8,petition_type:사증발급,47
code:E-2,petition_type:초청,47
petition_type:체류기간 연장,subsection_type:대상,45
manual:사증민원,code:D-2,45
manual:체류민원,code:A-1,45
code:B-1,petition_type:체류자격 변경,44
code:E-7,petition_type:초청,44
code:D-10,petition_type:체류자격 변경,43
code:D-2,petition_type:초청,43
petition_type:초청,subsection_type:제한,43
petition_type:사증발급,subsection_type:절차,43
manual:사증민원,code:F-1,43
code:E-2,document_bucket:기타서류,43
manual:사증민원,code:E-8,43
manual:체류민원,code:D-7,42
petition_type:체류자격 변경,subsection_type:예외,42
code:B-1,document_bucket:공통서류,42
code:D-10,document_bucket:공통서류,41
petition_type:체류자격외 활동허가,subsection_type:기타,41
code:D-10,petition_type:사증발급,41
code:C-3,document_bucket:공통서류,40
code:D-2,document_bucket:기타서류,40
petition_type:재입국허가,subsection_type:예외,40
code:D-8,document_bucket:기타서류,40
petition_type:체류기간 연장,subsection_type:기타,40
code:D-4,document_bucket:필수서류,39
code:E-9,document_bucket:필수서류,39
petition_type:사증발급,subsection_type:제한,39
code:F-1,document_bucket:공통서류,39
code:E-1,petition_type:사증발급,38
code:E-2,petition_type:외국인등록,38
code:D-3,petition_type:사증발급인정서,38
petition_type:외국인등록,subsection_type:제한,38
code:F-5,petition_type:근무처 변경/추가,37
code:F-4,document_bucket:필수서류,37
code:F-2,document_bucket:공통서류,37
code:C-3,document_bucket:기타서류,37
