id,label,kind,size,viz_color,viz_size
code:A-1,A-1,code,69,#4d79a8,24.919871588754226
code:A-2,A-2,code,31,#4d79a8,16.703293088490064
code:A-3,A-3,code,15,#4d79a8,11.618950038622252
code:A-3-99,A-3-99,code,1,#4d79a8,5.0
code:B-1,B-1,code,170,#4d79a8,39.1152144312159
code:B-2,B-2,code,1,#4d79a8,5.0
code:C-1,C-1,code,1,#4d79a8,5.0
code:C-3,C-3,code,243,#4d79a8,46.76537180435969
code:C-3-1,C-3-1,code,8,#4d79a8,8.485281374238571
code:C-3-10,C-3-10,code,2,#4d79a8,5.0
code:C-3-11,C-3-11,code,1,#4d79a8,5.0
code:C-3-2,C-3-2,code,3,#4d79a8,5.196152422706632
code:C-3-3,C-3-3,code,3,#4d79a8,5.196152422706632
code:C-3-4,C-3-4,code,5,#4d79a8,6.708203932499369
code:C-3-5,C-3-5,code,1,#4d79a8,5.0
code:C-3-6,C-3-6,code,2,#4d79a8,5.0
code:C-3-7,C-3-7,code,1,#4d79a8,5.0
code:C-3-8,C-3-8,code,4,#4d79a8,6.0
code:C-3-9,C-3-9,code,2,#4d79a8,5.0
code:C-4,C-4,code,45,#4d79a8,20.12461179749811
code:C-4-14,C-4-14,code,1,#4d79a8,5.0
code:C-4-5,C-4-5,code,6,#4d79a8,7.348469228349534
code:D-1,D-1,code,5,#4d79a8,6.708203932499369
code:D-10,D-10,code,207,#4d79a8,43.16248370981448
code:D-10-1,D-10-1,code,17,#4d79a8,12.36931687685298
code:D-10-2,D-10-2,code,4,#4d79a8,6.0
code:D-10-3,D-10-3,code,4,#4d79a8,6.0
code:D-10-T,D-10-T,code,2,#4d79a8,5.0
code:D-2,D-2,code,473,#4d79a8,60.0
code:D-2-1,D-2-1,code,3,#4d79a8,5.196152422706632
code:D-2-1D,D-2-1D,code,2,#4d79a8,5.0
code:D-2-5,D-2-5,code,5,#4d79a8,6.708203932499369
code:D-2-6,D-2-6,code,2,#4d79a8,5.0
code:D-2-7,D-2-7,code,2,#4d79a8,5.0
code:D-2-8,D-2-8,code,2,#4d79a8,5.0
code:D-3,D-3,code,112,#4d79a8,31.74901573277509
code:D-3-1,D-3-1,code,1,#4d79a8,5.0
code:D-3-11,D-3-11,code,1,#4d79a8,5.0
code:D-3-12,D-3-12,code,1,#4d79a8,5.0
code:D-3-13,D-3-13,code,1,#4d79a8,5.0
code:D-4,D-4,code,129,#4d79a8,34.07345007480164
code:D-4-1,D-4-1,code,3,#4d79a8,5.196152422706632
code:D-4-2,D-4-2,code,1,#4d79a8,5.0
code:D-4-2K,D-4-2K,code,4,#4d79a8,6.0
code:D-4-3,D-4-3,code,3,#4d79a8,5.196152422706632
code:D-4-5,D-4-5,code,1,#4d79a8,5.0
code:D-4-6,D-4-6,code,3,#4d79a8,5.196152422706632
code:D-5,D-5,code,5,#4d79a8,6.708203932499369
code:D-6,D-6,code,24,#4d79a8,14.696938456699067
code:D-7,D-7,code,76,#4d79a8,26.153393661244046
code:D-8,D-8,code,143,#4d79a8,35.874782229304195
code:D-8-1,D-8-1,code,6,#4d79a8,7.348469228349534
code:D-8-2,D-8-2,code,2,#4d79a8,5.0
code:D-8-3,D-8-3,code,2,#4d79a8,5.0
code:D-8-4,D-8-4,code,4,#4d79a8,6.0
code:D-8-4S,D-8-4S,code,1,#4d79a8,5.0
code:D-9,D-9,code,27,#4d79a8,15.588457268119896
code:D-9-1,D-9-1,code,1,#4d79a8,5.0
code:E-1,E-1,code,119,#4d79a8,32.72613634390714
code:E-10,E-10,code,11,#4d79a8,9.9498743710662
code:E-10-1,E-10-1,code,2,#4d79a8,5.0
code:E-10-2,E-10-2,code,2,#4d79a8,5.0
code:E-10-3,E-10-3,code,2,#4d79a8,5.0
code:E-2,E-2,code,342,#4d79a8,55.47972602672078
code:E-2-1,E-2-1,code,1,#4d79a8,5.0
code:E-3,E-3,code,15,#4d79a8,11.618950038622252
code:E-4,E-4,code,6,#4d79a8,7.348469228349534
code:E-5,E-5,code,5,#4d79a8,6.708203932499369
code:E-6,E-6,code,66,#4d79a8,24.372115213907882
code:E-6-1,E-6-1,code,2,#4d79a8,5.0
code:E-6-2,E-6-2,code,3,#4d79a8,5.196152422706632
