field,fill_count,row_count,fill_rate
common_documents,0,38,0.0
normalized_text,0,38,0.0
other_documents,0,38,0.0
quota_or_limit,0,38,0.0
score_criteria,0,38,0.0
subtype_or_program,1,38,0.0263
table_rows,3,38,0.0789
obligations,4,38,0.1053
target_persons,4,38,0.1053
procedure,5,38,0.1316
table_summary,5,38,0.1316
fees,6,38,0.1579
requirements,6,38,0.1579
exceptions,8,38,0.2105
restrictions,14,38,0.3684
eligibility,17,38,0.4474
applicant_context,18,38,0.4737
duration_or_validity,19,38,0.5
mandatory_documents,25,38,0.6579
item_type,38,38,1.0
manual_type,38,38,1.0
petition_type,38,38,1.0
section_title,38,38,1.0
source_pdf,38,38,1.0
stay_status_code,38,38,1.0
stay_status_name_ko,38,38,1.0
subsection_type,38,38,1.0
