컬럼,채움,전체,채움률
비자코드,191,191,100.00%
상위코드,191,191,100.00%
사증·체류,191,191,100.00%
신청종류,191,191,100.00%
하위프로그램,51,191,26.70%
신청상황,100,191,52.36%
대상,51,191,26.70%
자격요건,149,191,78.01%
제출서류,162,191,84.82%
절차,66,191,34.55%
수수료,59,191,30.89%
기간,78,191,40.84%
제한,91,191,47.64%
예외,78,191,40.84%
의무사항,49,191,25.65%
공통사항,0,191,0.00%
점수표,16,191,8.38%
쿼터,8,191,4.19%
초청자,0,191,0.00%
추천·승인기관,4,191,2.09%
표 데이터,37,191,19.37%
참고사항,0,191,0.00%
원본파일,191,191,100.00%
섹션,191,191,100.00%
페이지,0,191,0.00%
원본 라인범위,191,191,100.00%
연계비자,106,191,55.50%
키워드,191,191,100.00%
원문발췌,191,191,100.00%
예상질문,191,191,100.00%
검수상태,191,191,100.00%
검수메모,0,191,0.00%
