컬럼,채움,전체,채움률
비자코드,78,78,100.00%
상위코드,78,78,100.00%
사증·체류,78,78,100.00%
신청종류,78,78,100.00%
하위프로그램,39,78,50.00%
신청상황,59,78,75.64%
대상,51,78,65.38%
자격요건,57,78,73.08%
제출서류,62,78,79.49%
절차,46,78,58.97%
수수료,4,78,5.13%
기간,55,78,70.51%
제한,42,78,53.85%
예외,40,78,51.28%
의무사항,0,78,0.00%
공통사항,0,78,0.00%
점수표,9,78,11.54%
쿼터,13,78,16.67%
초청자,38,78,48.72%
추천·승인기관,29,78,37.18%
표 데이터,29,78,37.18%
참고사항,0,78,0.00%
원본파일,78,78,100.00%
섹션,78,78,100.00%
페이지,0,78,0.00%
원본 라인범위,78,78,100.00%
연계비자,58,78,74.36%
키워드,78,78,100.00%
원문발췌,78,78,100.00%
예상질문,78,78,100.00%
검수상태,78,78,100.00%
검수메모,0,78,0.00%
