field,fill_count,row_count,fill_rate
common_documents,0,6,0.0
exceptions,0,6,0.0
fees,0,6,0.0
inviter_context,0,6,0.0
normalized_text,0,6,0.0
other_documents,0,6,0.0
quota_or_limit,0,6,0.0
recommendation_or_approval,0,6,0.0
requirements,0,6,0.0
score_criteria,0,6,0.0
table_rows,0,6,0.0
table_summary,0,6,0.0
target_persons,0,6,0.0
subtype_or_program,1,6,0.1667
applicant_context,2,6,0.3333
procedure,2,6,0.3333
restrictions,2,6,0.3333
mandatory_documents,3,6,0.5
duration_or_validity,5,6,0.8333
eligibility,5,6,0.8333
item_type,6,6,1.0
manual_type,6,6,1.0
petition_type,6,6,1.0
section_title,6,6,1.0
source_pdf,6,6,1.0
subsection_type,6,6,1.0
visa_code,6,6,1.0
visa_name_ko,6,6,1.0
